id;quartett;titel;mechanismus;sofortentlastung;tarnung;rueckfallkraft;folgekosten;klarheitsschmerz;diagnose;falltuerfrage;status;kommentar;final_geprueft
A01;Aufschub;Ich fange morgen an;Present Bias;9;8;10;9;6;Morgen ist der Lieblingsort der Sucht.;Was wäre heute der kleinste echte Schritt?;draft;;nein
A02;Aufschub;Nach diesem Stress;Stress-Ausnahme;8;9;9;8;7;Der Stress endet nie, er wechselt nur das Kostüm.;Welchen Stress benutzt du gerade als Erlaubnis?;draft;;nein
A03;Aufschub;Ab Montag;Neustart-Illusion;7;8;8;7;5;Der Kalender soll erledigen, was du vermeidest.;Warum darf Dienstag nicht genügen?;draft;;nein
A04;Aufschub;Erst muss Ordnung rein;Vorbereitungsfalle;6;9;7;6;6;Vorbereitung klingt sauberer als Angst.;Welche Unordnung schützt dich vor Handlung?;draft;;nein
B01;Kontrollillusion;Ich habe das im Griff;Kontrollillusion;8;9;10;10;8;Kontrolle muss nicht behauptet werden.;Was würdest du sehen, wenn du es nicht im Griff hättest?;draft;;nein
B02;Kontrollillusion;Ich kann jederzeit aufhören;Omnipotenzlüge;9;8;10;9;8;Jederzeit heißt fast immer nie.;Warum nicht jetzt?;draft;;nein
B03;Kontrollillusion;Nur heute;Ausnahmegenehmigung;10;7;9;8;5;Sucht lebt von einzelnen Tagen.;Wie oft war heute schon nur heute?;draft;;nein
B04;Kontrollillusion;Ich dosiere bewusst;Selbstmanagement-Mythos;7;9;8;7;6;Dosierung kann auch nur gebildete Abhängigkeit sein.;Wer entscheidet wirklich: du oder das Muster?;draft;;nein
C01;Entlastungsluegen;Das beruhigt mich;Withdrawal Reversal;10;8;10;9;7;Es löscht Unruhe, die es selbst erzeugt.;Welche Ruhe hättest du ohne diese Schleife?;draft;;nein
C02;Entlastungsluegen;Ich brauche das gerade;Bedürfnis-Tarnung;9;9;8;8;6;Gerade ist das Lieblingswort der Kapitulation.;Was brauchst du wirklich gerade?;draft;;nein
C03;Entlastungsluegen;Ich habe es verdient;Moral Licensing;8;8;7;7;5;Belohnung ist oft Bestrafung mit Geschenkpapier.;Wofür belohnst du dich mit Verlust?;draft;;nein
C04;Entlastungsluegen;Sonst halte ich es nicht aus;Katastrophisierung;9;7;9;9;8;Du verwechselst Entzug mit Wahrheit über dich.;Was genau wäre unaushaltbar, und wie lange?;draft;;nein
D01;Identitaetsluegen;So bin ich eben;Essentialismus;8;9;9;9;9;Gewohnheit trägt gern Persönlichkeitsmaske.;Wer wärst du ohne diesen Satz?;draft;;nein
D02;Identitaetsluegen;Ich bin eben Genussmensch;Genuss-Verklärung;8;9;8;8;6;Genuss ohne Freiheit ist nur hübsche Gefangenschaft.;Genießt du oder gehorchst du?;draft;;nein
